expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,1,1,200,213,2.6000000000000005,left,left,True,75.38,left,True,68.17,None,None,None,0.5682144399999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,1,2,200,213,2.6000000000000005,right,left,False,88.62,right,True,65.35,None,None,None,0.012950439999999978,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,1,3,200,213,2.6000000000000005,right,left,False,73.12,right,True,67.26,None,None,None,0.07225343999999996,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,2,1,200,213,2.6000000000000005,left,left,True,62.5,left,True,65.59,None,None,None,0.390625,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,2,2,200,213,2.6000000000000005,right,left,False,74.88,right,True,68.86,None,None,None,0.06310144000000005,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,2,3,200,213,2.6000000000000005,left,right,False,63.12,left,True,69.84,None,None,None,0.13601344,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,3,1,200,213,2.6000000000000005,left,left,True,71.25,left,True,64.26,None,None,None,0.50765625,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,3,2,200,213,2.6000000000000005,left,left,True,83.88,left,True,68.64,None,None,None,0.70358544,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,underconfident,yellow,3,3,200,213,2.6000000000000005,left,left,True,94.12,right,False,68.43,None,None,None,0.8858574400000001,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,1,1,200,213,2.6000000000000005,left,left,True,76.75,right,False,92.74,None,None,None,0.58905625,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,1,2,200,213,2.6000000000000005,left,left,True,92.5,left,True,94.09,None,None,None,0.8556250000000001,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,1,3,200,213,2.6000000000000005,right,left,False,61.75,right,True,91.35,None,None,None,0.14630624999999997,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,2,1,200,213,2.6000000000000005,left,left,True,65.38,left,True,91.29,None,None,None,0.42745443999999994,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,2,2,200,213,2.6000000000000005,right,left,False,86.25,left,False,90.59,None,None,None,0.01890624999999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,2,3,200,213,2.6000000000000005,left,right,False,62.38,left,True,94.67,None,None,None,0.14152643999999998,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,3,1,200,213,2.6000000000000005,left,left,True,78.25,left,True,92.87,None,None,None,0.6123062499999999,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,3,2,200,213,2.6000000000000005,right,left,False,57.63,left,False,90.99,None,None,None,0.17952168999999998,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_28_0210,,,,True,False,overconfident,magenta,3,3,200,213,2.6000000000000005,left,left,True,80.88,left,True,92.66,None,None,None,0.65415744,None,None,None,None,None,None,None,None,None,None,200,2.6000000000000005,213,True
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.400959899999998,0.12801919799999997,7,6,5,4,8,3,5,6,None,None,None,None
