expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,13,1,0,13,200,237,None,None,3.6000000000000014,right,left,False,None,None,None,None,None,None,None,0.6054530999972485,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,14,1,0,14,200,240,None,None,3.7000000000000015,left,right,False,None,None,None,None,None,None,None,0.6952629999723285,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,15,1,0,15,200,245,None,None,3.8000000000000016,right,left,False,None,None,None,None,None,None,None,0.6655916000017896,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,16,1,0,16,200,249,None,None,3.9000000000000017,right,left,False,None,None,None,None,None,None,None,0.5547055000206456,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,17,1,0,17,200,255,None,None,4.000000000000002,left,right,False,None,None,None,None,None,None,None,0.514057699998375,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,18,1,0,18,200,260,None,None,4.100000000000001,left,right,False,None,None,None,None,None,None,None,0.5516591999912634,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,19,1,0,19,200,267,None,None,4.200000000000001,right,left,False,None,None,None,None,None,None,None,0.6871446000295691,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,20,1,0,20,200,274,None,None,4.300000000000001,left,right,False,None,None,None,None,None,None,None,0.5212905000080355,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,None,None,21,2,0,1,200,281,None,None,4.4,left,right,False,78.25,None,None,None,None,None,None,0.5822635000222363,1.1971430000266992,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,None,None,22,2,0,2,200,233,None,None,4.4,right,left,False,72.0,None,None,None,None,None,None,0.44126190000679344,0.8003713000216521,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,None,None,23,2,0,3,200,233,None,None,4.4,left,left,True,78.38,None,None,None,None,None,None,0.41872029996011406,0.7382248999783769,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,None,None,24,2,0,4,200,233,None,None,4.4,right,left,False,71.38,None,None,None,None,None,None,0.3485060000093654,0.5167526000295766,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,None,None,25,2,0,5,200,233,None,None,4.4,left,left,True,82.38,None,None,None,None,None,None,0.36943270004121587,0.5469648000434972,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,underconfident,magenta,26,3,1,1,200,233,None,None,4.4,right,left,False,82.12,left,False,67.31,None,None,None,0.40651150001212955,1.2908585000550374,0.03196943999999999,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,True,False,underconfident,magenta,27,3,1,2,200,233,None,None,4.4,right,left,False,75.38,right,True,68.63,None,None,None,0.5674157000030391,0.7036456000059843,0.06061444000000004,None,None,None,None,None,None,None,None,None,None
